semester,course_id,course_code,memo,name,chinese_name,limit,reg_num,time,credit,hours,lecturer,type
1111,910185,SESE10021,,Engineering Graphics,工程圖學,Unlimited,16,M9a-,1,2,系統工程,1
1111,910186,SESE10055,,General Physics(2),普通物理(2),Unlimited,34,R9ab-,3,3,鄭根發,1
1111,910187,SESE10038,,Calculus(2),微積分(2),Unlimited,17,W89ab-,3,4,張枝成,1
1111,910188,SESE10054,,General Physics (1),普通物理(1),Unlimited,22,R234-,3,3,杜建明,1
1111,910189,SESE10054,,General Physics (1),普通物理(1),Unlimited,26,R34F1-,3,3,王哲釧,1
1111,910190,SESE10054,,General Physics (1),普通物理(1),Unlimited,27,R34F1-,3,3,鄭紹宏,1
1111,910193,SESE10054,,General Physics (1),普通物理(1),Unlimited,23,R34F1-,3,3,尤懷德,1
1111,910195,SESE00116,,The Art of War and Life,孫子兵法與人生,Unlimited,28,F34-,2,2,系統工程,2
1111,910196,SESE10037,,Calculus (1),微積分(1),Unlimited,27,T34R56-,4,4,張仁煦,1
1111,910197,SESE10037,,Calculus (1),微積分(1),Unlimited,22,M56W34-,4,4,張枝成,1
1111,910198,SESE10037,,Calculus (1),微積分(1),Unlimited,23,T12R12-,4,4,張仁煦,1
1111,910200,SESE00055,,Financial Management,財務管理 ,Unlimited,13,T56-,2,2,系統工程,2
1111,910201,SESE10051,,General Chemistry,普通化學,Unlimited,23,M56W1-,3,3,游竹淋,1
1111,910202,SESE10224,,Cryptography,密碼學,Unlimited,5,R9ab-,3,3,張德仁,2
1111,910203,SESE00117,,Fiction and Film,小說與電影,Unlimited,17,T56-,2,2,系統工程,2
1111,910204,SESE10176,,Project on Aerospace(1),太空專題實作(1),Unlimited,4,M567-,1,3,李彥宏,1
1111,910205,SESE10051,,General Chemistry,普通化學,Unlimited,27,M34R2-,3,3,游竹淋,1
1111,910206,SESE10051,,General Chemistry,普通化學,Unlimited,22,T567-,3,3,黃文鍵,1
1111,910207,SESE00118,,Chinese Military Literature,中國兵書選讀,Unlimited,25,W12-,2,2,系統工程,2
1111,910208,SESE00055,,Financial Management,財務管理 ,Unlimited,11,T78-,2,2,系統工程,2
1111,910210,SESE10180,,Principles and Experiments of Enhanced Heat Transfer,熱傳增強原理與實驗,Unlimited,4,M9ab-,3,3,賴正權,2
1111,910211,SESE10181,,Computer Aided Design,計算機輔助設計,Unlimited,9,W567-,3,3,徐道賢,2
1111,910212,SESE10057,,General Physics Lab.(1),普通物理實驗 (1),Unlimited,23,T34-,2,2,賴渝翔,1
1111,910213,SESE10182,,Theory of Rotating-Wing Aircraft,旋翼機理論,Unlimited,16,W9ab-,3,3,羅明忠,2
1111,910214,SESE10183,,Performance Analysis of Aircraft and Missile,戰機飛彈性能分析,Unlimited,8,T9ab-,3,3,系統工程,2
1111,910215,SESE10184,,Analysis and Design of Military Aircraft System,戰機系統設計,Unlimited,10,T9ab-,3,3,李彥宏,2
1111,910216,SESE00118,,Chinese Military Literature,中國兵書選讀,Unlimited,26,W34-,2,2,系統工程,2
1111,910217,SESE10188,,Radar System,雷達系統,Unlimited,29,T234-,3,3,聶若鹽,1
1111,910218,SESE10168,,Advanced Program Design,高等程式設計,Unlimited,5,R9ab-,3,3,林振輝,2
1111,910221,SESE20036,,Introduction to Algorithms,演算法,Unlimited,18,T8F12-,3,3,張克勤,2
1111,910222,SESE00010,,Philosophy and Life,哲學與人生,Unlimited,20,W78-,2,2,系統工程,2
1111,910223,SESE20038,,Explosives(I),火藥學(1),Unlimited,22,M34T1-,3,3,楊琮貿,1
1111,910224,SESE20003,,Analytical Chemistry(II),儀器及分析化學實驗(2),Unlimited,11,T9ab-,1,3,王志嘉,2
1111,910225,SESE10190,,Introduction to Optic Fiber,光纖概論,Unlimited,5,T9ab-,3,3,系統工程,2
1111,910226,SESE10191,,Fundamentals of Mobile Communications,行動通訊概論,Unlimited,15,T9ab-,3,3,系統工程,2
1111,910227,SESE10192,,Digital electronics,數位電子,Unlimited,19,W9ab-,3,3,劉貞灝,2
1111,910228,SESE00016,,International Relations,國際關係,Unlimited,29,F12-,2,2,系統工程,2
1111,910229,SESE20048,,Automatic Control Systems(I),自動控制系統(1),Unlimited,55,W156-,3,3,楊家宏,1
1111,910230,SESE10194,,Practice of Communication Systems(3),通訊系統專題實作(3),Unlimited,8,M567-,1,3,瞿忠正,1
1111,910231,SESE10195,,Practice for Applications of Wireless Communications (3),無線通訊應用專題實作(3),Unlimited,8,M567-,1,3,蘇英俊,1
1111,910232,SESE10196,,Design Topics of Microwave Devices(3),微波裝置專題實作(3),Unlimited,8,M567-,1,3,陳淑娟,1
1111,910233,SESE10197,,Optoelectronic application project(3),光電應用專題實作(3),Unlimited,9,M567-,1,3,謝輝煌,1
1111,910234,SESE10198,,Project of Information Security(3),資訊安全專題實作(3),Unlimited,7,M567-,1,3,林宗億,1
1111,910235,SESE10199,,Special topics for the Control and Automation(3),控制與自動化專題實作(3),Unlimited,10,M567-,1,3,談光雄,1
1111,910236,SESE10200,,Applied Computer Network Project(3),計算機網路應用專題實作(3),Unlimited,10,M567-,1,3,系統工程,1
1111,910237,SESE10072,,Probability and Statistics,機率與統計,Unlimited,25,M34W1-,3,3,聶若鹽,1
1111,910238,SESE20012,,Single Chip,單晶片,Unlimited,24,W234-,3,3,藍建武,1
1111,910239,SESE20063,,Electric Machinery,電機機械,Unlimited,24,T567-,3,3,談光雄,1
1111,910240,SESE00016,,International Relations,國際關係,Unlimited,13,F34-,2,2,系統工程,2
1111,910243,SESE00051,,English(1),英文(1),Unlimited,30,W12F2-,3,3,系統工程,1
1111,910244,SESE00051,,English(1),英文(1),Unlimited,26,W5R12-,3,3,系統工程,1
1111,910245,SESE00120,,Readings In Ming and Ching Fiction,明清小說,Unlimited,15,W56-,2,2,系統工程,2
1111,910246,SESE00051,,English(1),英文(1),Unlimited,22,R56F4-,3,3,系統工程,1
1111,910248,SESE10057,,General Physics Lab.(1),普通物理實驗 (1),Unlimited,27,F34-,2,2,系統工程,1
1111,910249,SESE20059,,Modern Physics,近代物理,Unlimited,39,T9ab-,3,3,謝輝煌,2
1111,910250,SESE00056,,Military Education and Career Counseling,軍事教育與生涯發展,Unlimited,27,W34-,2,2,系統工程,2
1111,910251,SESE20058,,Introduction to Modern Optoelectronic Engineering,近代光電工程,Unlimited,5,R9ab-,3,3,葉宗翰,2
1111,910252,SESE00121,,Basic Military English,基礎軍事英文,Unlimited,22,T12-,2,2,系統工程,2
1111,910253,SESE00013,,Chinese(1),國文(1),Unlimited,27,W567-,3,3,系統工程,1
1111,910254,SESE00013,,Chinese(1),國文(1),Unlimited,29,T234-,3,3,系統工程,1
1111,910255,SESE00013,,Chinese(1),國文(1),Unlimited,23,T567-,3,3,系統工程,1
1111,910256,SESE00013,,Chinese(1),國文(1),Unlimited,19,T234-,3,3,系統工程,1
1111,910257,SESE00121,,Basic Military English,基礎軍事英文,Unlimited,26,T34-,2,2,系統工程,2
1111,910259,SESE10072,,Probability and Statistics,機率與統計,Unlimited,24,M34R1-,3,3,蘇英俊,1
1111,910260,SESE20060,,Communication Systems,通訊系統,Unlimited,25,W234-,3,3,李志國,1
1111,910261,SESE20066,,Electromagnetic Waves,電磁波,Unlimited,25,T567-,3,3,李志國,1
1111,910262,SESE00039,,Service Learning(2),服務學習 (2),Unlimited,25,M4-,0,1,葉宗翰,1
1111,910263,SESE10166,,Fundamental of Electric Circuits (2),電路學(2),Unlimited,25,M3T34-,3,3,葉宗翰,1
1111,910264,SESE10026,,Engineering Mathematics(1),工程數學(1),Unlimited,25,W234-,3,3,杜博仁,1
1111,910265,SESE10115,,Linear Algebra,線性代數,Unlimited,29,R234-,3,3,張克勤,1
1111,910266,SESE10158,,Experiments of Electrical Engineering(1),電子實驗(1),Unlimited,25,W567-,1,3,謝育立,1
1111,910267,SESE10158,,Experiments of Electrical Engineering(1),電子實驗(1),Unlimited,13,F234-,1,3,謝育立,1
1111,910268,SESE10115,,Linear Algebra,線性代數,Unlimited,13,R234-,3,3,瞿忠正,1
1111,910269,SESE10166,,Fundamental of Electric Circuits (2),電路學(2),Unlimited,13,M34R1-,3,3,謝育立,1
1111,910270,SESE00039,,Service Learning(2),服務學習 (2),Unlimited,36,R4-,0,1,張文南,1
1111,910271,SESE10104,,Program Design,程式設計,Unlimited,13,W9ab-,3,3,林振輝,2
1111,910272,SESE10104,,Program Design,程式設計,Unlimited,25,F234-,3,3,林振輝,2
1111,910273,SESE10202,,Solid-state Electronic Devices,固態電子元件,Unlimited,13,W234-,3,3,系統工程,2
1111,910274,SESE10040,,Design Topics of Microwave Devices,微波裝置專題實作(1),Unlimited,9,M567-,1,3,李志國,1
1111,910275,SESE10203,,Special topics for the application of semiconductor devices(1),半導體元件應用專題實作(1),Unlimited,4,M567-,1,3,謝育立,1
1111,910276,SESE10005,,Optoelectronic Application Project,光電應用專題實作(1),Unlimited,5,M567-,1,3,葉宗翰,1
1111,910277,SESE10060,,Special Topics for the Intelligent Robot,智慧型機器人專題實作(1),Unlimited,8,M567-,1,3,藍建武,1
1111,910278,SESE10133,,Project of Applying Information,資訊應用專題實作(1),Unlimited,5,M567-,1,3,張德仁,1
1111,910279,SESE10131,,Information Security Practice(I),資訊安全專題實作(1) ,Unlimited,9,M567-,1,3,張克勤,1
1111,910280,SESE10090,,Practice for Applications of Wireless,無線通訊應用專題實作(1),Unlimited,4,M567-,1,3,鄭紹宏,1
1111,910281,SESE10156,,Electronics Circuits (1),電子學(1),Unlimited,16,T1W34-,3,3,談光雄,1
1111,910282,SESE00080,,Database Practice,資料庫專題實作(3),Unlimited,8,M567-,1,3,劉芳萍,1
1111,910283,SESE00081,,Information System Practice(3),資訊系統工程專題實作(3),Unlimited,3,M567-,1,3,羅序仁,1
1111,910284,SESE00082,,Multimedia Design Practice(3),多媒體設計專題實作(3),Unlimited,6,M567-,1,3,蔡宗憲,1
1111,910285,SESE00083,,IoT System Practice(3),物聯網系統專題實作(3),Unlimited,4,M567-,1,3,楊婷婷,1
1111,910288,SESE00085,,Process Design,程序設計,Unlimited,25,M9R12-,3,3,李金樹,1
1111,910289,SESE00086,,Characterization of Materials,材料特性分析,Unlimited,5,T9ab-,3,3,系統工程,2
1111,910290,SESE00087,,Protecting and Clean Technology of Radiochemistry,核子放射防護與消除,Unlimited,5,W567-,3,3,賴政國,2
1111,910291,SESE00088,,Practice of Steel Processing and Heat Treatment,鋼鐵加工及熱處理實務,Unlimited,5,W567-,3,3,劉益銘,2
1111,910292,SESE00089,,Organic Analysis ＆ Spectroscopy,有機分析及有機光譜學,Unlimited,7,T567-,3,3,吳國輝,2
1111,910293,SESE20079,,Special Project on Explosive(3),火炸藥專題實作(3),Unlimited,6,M567-,1,3,楊琮貿,1
1111,910294,SESE00090,,Special Project on Nuclear(3),核生化防護專題實作(3),Unlimited,6,M567-,1,3,汪成斌,1
1111,910295,SESE00091,,Special Project on Materials Science & Engineering (3),材料科學與工程專題實作(3),Unlimited,7,M567-,1,3,王哲釧,1
1111,910296,SESE00092,,Special Project on Energy Conversion/ Storage Batteries(3),創/儲能電池專題實作(3),Unlimited,6,M567-,1,3,林明憲、張仍奎,1
1111,910297,SESE00020,,Project Management,專案管理,Unlimited,9,W34-,2,2,李金樹,2
1111,910298,SESE20010,,Unit Operation & Transport Phenomena(2),單元操作與輸送現象(2),Unlimited,6,R456-,3,3,黃其清,1
1111,910299,SESE20041,,Physical Metallurgy(I),物理冶金(1),Unlimited,20,F234-,3,3,王誠佑、劉益銘,1
1111,910300,SESE20011,,Unit Operation Lab.(I),單元操作實驗(1),Unlimited,20,R123-,1,3,楊琮貿,1
1111,910301,SESE20031,,Thermodynamics of Materials(II),材料熱力學(2),Unlimited,9,W567-,3,3,王哲釧,2
1111,910302,SESE20007,,Chemical Engineering Thermodynamics,化工熱力學,Unlimited,6,W567-,3,3,林明憲,1
1111,910303,SESE20040,,Physical Chemistry(II),物理化學(2),Unlimited,5,W567-,3,3,劉敏憲,1
1111,910304,SESE20068,,Introduction to Polymer,高分子導論,Unlimited,5,T34R5-,3,3,張章平,2
1111,910305,SESE10086,,Special Project on Explosive(1),火炸藥專題實作(1),Unlimited,5,M567-,1,3,李金樹,1
1111,910306,SESE10071,,Special Project on Nuclear Bilolgical and Chemical Defense,核生化防護專題實作(1),Unlimited,5,M567-,1,3,黃文鍵,1
1111,910307,SESE10067,,Special Project on Materials Science & Engineering(1),材料科學與工程專題實作(1),Unlimited,3,M567-,1,3,許宏華,1
1111,910308,SESE10008,,Special Project on Functional Coatings,功能性鍍膜專題實作(1),Unlimited,7,M567-,1,3,葛明德,1
1111,910309,SESE10002,,Analytical Chemistry(1),儀器及分析化學(1),Unlimited,16,T78R6-,3,3,王志嘉,1
1111,910310,SESE10061,,Organic Chemistry(1),有機化學(1),Unlimited,16,M34R5-,3,3,洪耀勳,1
1111,910311,SESE10004,,Analytical Chemistry Lab.(1),儀器及分析化學實驗(1),Unlimited,16,W234-,1,3,游竹淋,1
1111,910312,SESE10068,,Introduction to Materials Science,材料科學導論,Unlimited,16,F234-,3,3,陳智、許宏華,1
1111,910313,SESE10026,,Engineering Mathematics(1),工程數學(1),Unlimited,16,T56W1-,3,3,陸開泰,1
1111,910314,SESE10063,,Organic Chemistry Lab.(1),有機化學實驗(1),Unlimited,16,R234-,1,3,洪耀勳,1
1111,910315,SESE10065,,Mechanics of Materials,材料力學,Unlimited,41,T234-,3,3,曾有志,1
1111,910316,SESE10204,,Underwater Acoustics,水中聲學,Unlimited,11,T34W3-,3,3,陳冠宇,2
1111,910317,SESE10205,,Systems Engineering Management,系統工程管理概論,Unlimited,24,W456-,3,3,鄧世剛,1
1111,910318,SESE10206,,Vehicle Dynamics,車輛運動力學,Unlimited,18,W456-,3,3,朱子文,1
1111,910319,SESE10207,,Warship Design,軍艦設計,Unlimited,11,M34W3-,3,3,林俊成,1
1111,910320,SESE10177,,Mechatronics,機電整合,Unlimited,23,W9ab-,3,3,系統工程,2
1111,910321,SESE00008,,Crisis Management,危機管理,Unlimited,30,M34-,2,2,系統工程,2
1111,910322,SESE10209,,Ordnance Engineering and Workshop (2),兵器工程及實習(2),Unlimited,6,T567-,3,3,孫懷谷,2
1111,910323,SESE10210,,Introduction of Armored Fighting Vehicles,戰甲車概論,Unlimited,6,T9ab-,3,3,王翔正,2
1111,910324,SESE20062,,Electronic Component and Lab,電子學及實驗 ,Unlimited,24,M34W5-,3,3,李永隆,1
1111,910326,SESE20006,,Ordnance Engineering and Workshop(I),兵器工程及實習(1),Unlimited,24,T567-,3,3,葉昭南,1
1111,910327,SESE20034,,Experiments of Fluid Mechanics,流體力學實驗 ,Unlimited,5,F34-,1,2,林俊成,2
1111,910329,SESE10211,,Automotive Drive Trains,車輛傳動系統,Unlimited,5,W567-,3,3,蘭真,2
1111,910330,SESE10212,,Automotive Chassis Systems,車輛底盤系統,Unlimited,8,M34T8-,3,3,朱子文,2
1111,910331,SESE10213,,Automotive Electricity & Electronics Services,車輛電學及實務,Unlimited,14,R9ab-,3,3,周志正,2
1111,910332,SESE20005,,Internal Combustion Engines,內燃機,Unlimited,8,T567-,3,3,周志正,1
1111,910333,SESE10026,,Engineering Mathematics(1),工程數學(1),Unlimited,23,T9ab-,3,3,宋易哲,1
1111,910334,SESE20049,,Fluid Dynamics,船舶流體動力學 ,Unlimited,8,T567-,3,3,林俊成,1
1111,910335,SESE20061,,Principles of Naval Architeeture (II),造船原理(2),Unlimited,8,W567-,3,3,劉宗龍,2
1111,910336,SESE20037,,Submarine Introduction,潛艦概論,Unlimited,8,W9ab-,3,3,雷清宇,2
1111,910338,SESE00094,,Engineering Geology,工程地質學,Unlimited,22,W34-,2,2,簡志峻,1
1111,910343,SESE00099,,Special Topics in Integration of Environmental Information and Engineering(3),環境資訊及工程整合專題實作(3),Unlimited,5,M567-,1,3,蔡營寬,1
1111,910344,SESE00100,,Special Topics in Integration of Disaster Prevention and Protection(3),災害防救整合專題實作(3),Unlimited,9,M567-,1,3,簡志峻,1
1111,910345,SESE00101,,Geospatial Special in Internet of Things Application Environment(3),智慧物聯網環境專題實作(3),Unlimited,6,M567-,1,3,宋欣芳,1
1111,910346,SESE00102,,Special Topics in Engineering Practices (3),軍事工程專題實作(3),Unlimited,5,M567-,1,3,張文南,1
1111,910347,SESE00103,,Cadastral Surveying,地籍測量學,Unlimited,5,T234-,3,3,系統工程,2
1111,910348,SESE00104,,Integration of Geospatial Information and Development of Common Operating Pictures,空間資訊整合及圖台開發,Unlimited,6,W456-,3,3,系統工程,2
1111,910349,SESE00105,,Color Reproduction,彩色複製學,Unlimited,9,T567-,3,3,吳憲珉,2
1111,910350,SESE00106,,Geospatial Special Practice(3),空間科學專題實作(3),Unlimited,9,M567-,1,3,蔡明達,1
1111,910351,SESE00107,,Aviation Meteorology,航空氣象學,Unlimited,5,M34W4-,3,3,林永慶,2
1111,910352,SESE00108,,Introduction to Physical Oceanography,物理海洋概論,Unlimited,1,T234-,3,3,系統工程,2
1111,910353,SESE20080,,Introduction to Military Meteorology,軍事氣象學導論,Unlimited,10,W23F2-,3,3,蔡世樵,1
1111,910354,SESE00110,,Case Study of Atmospheric Science(3),大氣科學專題實作(3),Unlimited,10,M567-,1,3,蔡世樵,1
1111,910355,SESE00111,,Climate Change and Adaptation,氣候變遷與調適,Unlimited,6,T567-,3,3,系統工程,2
1111,910356,SESE00112,,Nautical meteorology,航海氣象學,Unlimited,3,W567-,3,3,崔怡楓,2
1111,910357,SESE20024,,Building Equipment,建築設備,Unlimited,25,T348-,3,3,張又升,2
1111,910358,SESE20045,,Theory of Structures,結構學,Unlimited,30,T567-,3,3,張文南,1
1111,910359,SESE20016,,Foundation Engineering,基礎工程,Unlimited,25,R234-,3,3,李宏輝、黃郁惟,1
1111,910360,SESE10147,,Special Topics in Engineering Practices(I),軍事工程專題實作(1),Unlimited,8,M567-,1,3,張又升,1
1111,910361,SESE10087,,Special Topics in Integration of Disaster Prevention and Protection(I),災害防救整合專題實作(1),Unlimited,8,M567-,1,3,李宏輝,1
1111,910362,SESE20021,,Synoptic Meteorology Laboratory(I),天氣學實習(1),Unlimited,3,T34-,1,2,系統工程,1
1111,910363,SESE20020,,Synoptic Meteorology(I),天氣學(1),Unlimited,3,M34T2-,3,3,侯昭平,1
1111,910364,SESE20017,,Dynamic Meteorology(I),大氣動力學(1),Unlimited,3,W7F34-,3,3,蔡世樵,1
1111,910365,SESE10020,,Case Study of Armospheric Science(I),大氣科學專題實作(1),Unlimited,3,M567-,1,3,沈鴻禧,1
1111,910366,SESE20018,,Geodesy,大地測量學,Unlimited,6,M34T3-,3,3,李宜珊,1
