department,course_id,course_code,memo,name,chinese_name,limit,reg_num,time,credit,hours,lecturer,type
SET,910242.0,SESE20158,,"C4ISR System Practice(2)
",C4ISR 系統專題實作(2),Unlimited,0.0,M567-,1.0,3.0,劉中宇,Required
SET,910243.0,SESE20159,,"Pattern Recognition Practice(2)
",圖形識別系統專題實作(2),Unlimited,0.0,M567-,1.0,3.0,翁旭谷,Required
SET,910244.0,SESE20160,,"Database Practice(2)
",資料庫專題實作(2),Unlimited,0.0,M567-,1.0,3.0,劉芳萍,Required
SET,910245.0,SESE10236,,"Information System Practice (2)
",資訊系統工程專題實作(2),Unlimited,0.0,M567-,1.0,3.0,羅序仁,Required
SET,910246.0,SESE10237,,"Computer Networks Practice (2)
",電腦網路專題實作(2),Unlimited,0.0,M567-,1.0,3.0,系統工程,Required
SET,910247.0,SESE20161,,"Multimedia Design Practice(2)
",多媒體設計專題實作(2),Unlimited,0.0,M567-,1.0,3.0,蔡宗憲,Required
SET,910248.0,SESE20162,,"IoT System Practice(2)
",物聯網系統專題實作(2),Unlimited,0.0,M567-,1.0,3.0,楊婷婷,Required
SET,910249.0,SESE20163,,"Cryptographic System Practice(2)
",密碼工程專題實作(2),Unlimited,0.0,M567-,1.0,3.0,賴泰宏,Required
SET,910250.0,SESE20164,,"Information Operation
",資訊作戰,Unlimited,0.0,W234-,3.0,3.0,系統工程,Elective
SET,910251.0,SESE20165,,"Multimedia Security
",多媒體安全,Unlimited,0.0,T678-,3.0,3.0,王順吉,Elective
SET,910252.0,SESE20166,,"Computer Attack and Defense
",電腦攻擊與防禦,Unlimited,0.0,Wabc-,3.0,3.0,陳佑全,Elective
SET,910253.0,SESE20167,,"Wireless Communication and Network
",無線通訊與網路,Unlimited,0.0,T123-,3.0,3.0,楊婷婷,Elective
SET,910254.0,SESE00074,,"Programming Design Practice (2)
",程式設計實習(2),Unlimited,0.0,R234-,3.0,3.0,周兆龍,Elective
SET,910255.0,SESE20112,,"Project of Information Security(4)
",資訊安全專題實作(4),Unlimited,0.0,M567-,1.0,3.0,賴泰宏,Required
SET,910256.0,SESE20168,,"Networks Defense Practice(4)
",網路攻防專題實作(4),Unlimited,0.0,M567-,1.0,3.0,羅嘉寧,Required
SET,910257.0,SESE20169,,"C4ISR System Practice(4)
",C4ISR 系統專題實作(4),Unlimited,0.0,M567-,1.0,3.0,劉中宇,Required
SET,910258.0,SESE20170,,"Database Practice(4)
",資料庫專題實作(4),Unlimited,0.0,M567-,1.0,3.0,劉芳萍,Required
SET,910259.0,SESE20171,,"Information System Practice(4)
",資訊系統工程專題實作(4),Unlimited,0.0,M567-,1.0,3.0,羅序仁,Required
